comment,likes,my_polarity
"В Польшу уехали не от хорошей жизни.Я сам убежал,уехал,скрылся-как угодно можно назвать,чтобы не сесть в тюрьму,потому что свобода для меня многое значит...здесь,в Польше,не все беларусы нормальные...многие привезли совок с собой...проблемы остались у всех,но некоторые все равно пытаются свалить их решение на других людей...все люди-разные...",7.0,-1.0
"Здравствуйте, Светлана! Честно говоря, мы до лета прошлого года и сами не знали, какими мы можем быть:)) Мне, как беларуске, кажется, что эта наша общая беда, которая сейчас происходит в Беларуси, нас очень сплотила. Эта ситуация, словно лакмусовая бумажка, показала не только уродливое лицо власти, но дух беларуского народа. Но вы не забывайте, что и у власти в Беларуси, тоже ведь беларусы сидят:( а значит, всё зависит от людей! Сколько живу в Польше, могу сказать, что встречала украинцев с которыми замечательно общалась и которые очень мне помогли. Да и вообще, мне кажется, человек человеку брат и друг, было бы сердце и совесть, и ""национальные особенности"" тут могут не сыграть вообще никакой роли (если такие ""особенности"" вообще существует:)) . А я лично в восторге от вашей инициативы! Спасибо большое!!!",3.0,1.0
"люди разные в разных странах, и не зависит от национальности - просто каждый выбирает свой путь. С удовольствием купила бы у вас орешков, если бы была в варшаве. Не соглашусь, с комментариями выше, что беларусы затоптали бы кого-то, но мимо прошло бы большинство, так как позиция ""мояхатаскраю"" это огромный минус процента 70 беларусов. Поэтому те, кто остается в Беларуси и ушел в подполье, ждут санкций, в надежде что финансовый кризис расшевелит это болото и люди будут вынуждены выйти на забастовку и протест.",3.0,-1.0
"Светлана, ты молодец 👍💪💪",1.0,1.0
Приветствую. Автор высказался субъективно. Я много лет работаю плечом к плечу с украинцами. И не было такого. Чтоб не помогали. Везде есть ложка дегтя на бочку меда.,8.0,0.0
"Не надо о украинцах плохо думать. Прекрасный народ со своей культурoй и историей. Беларусам есть чему у них ещё поучиться. Ну и им, вероятно, у беларусов тоже есть что позаимствовать. Нет плохих народов, есть плохие люди и идеи с душком.
 Слава Укрине !!!
 Живе Беларусь !!!!
 Смерть диктаторам !!!!",31.0,1.0
"Вы запутались, женщина)) Среди жителей украины много прекрасных людей.))Надеюсь они вам встретятся однажды))",0.0,0.0
"Спасибо за такие слова. Среди наших тоже есть разные, просто многих сплотила общая беда.",0.0,1.0
"Я восхищаюсь смелостью украинцев - как вы повели себя на Майдане. Если бы мы готовы были сделать так же, в Беларуси сейчас все было бы по-другому.
 У моих соотечественников есть свои плюсы и минусы. Здесь в основном оказались те, кто не смог выдержать того, что в стране начались чудовищные пытки. Я до сих пор помню ужас после первых новостей и желание,чтобы это было неправдой(((
 Почти всем тем, кто не смог сдержать свое возмущение и пытался как-то противостоять этому кошмару, пришлось или бежать, или сесть в тюрьму(( а осталось в стране много таких людишек, которые это все одобряют и поощряют. Встреть вы их, у вас были бы другие эмоции(((
 Просто хочу, чтобы вы знали, что мы, беларусы, восхищаемся многими чертами ваших соотечественников. Среди украинцев много очень хороших людей.
 А негодяев в любой стране хватает((( просто белорусским красауцам и ябатькам приходится в большинстве своем сидеть дома.",10.0,1.0
"Не могу не сказать о украинцах..
Все,кто был 9 августа в Варшаве у бел.консульства в очереди на голосование,а это около 3т. Человек,вспомните!!!!
Жара невыносимая,духота,море людей.. Кто были те волонтёры с зонтами от солнца, с креслами, с упаковками воды и одноразовыми стаканчиками? Кто разносил мороженое и домашнюю еду?? Кто находил солнцезащитные крема? Кто нас поддерживал с машин,с хостела рядом? Кто просто психологически пришёл нас поддержать,обнимал и говорил,что верит в нас и нашу свободу???
Это были украинцы!!! Обычные люди,рабочие,студенты,которые не были знакомы между собой,но все действовали как одна команда. И это было восхитительно! И наполнило бесконечной благодарностью и уважением..",20.0,1.0
"Как интересно наблюдать с точки зрения психологии, автор высказал восхищение и личное мнение, построенное на своём жизненном опыте. И тут у каждого полез свой... Как белоруска с удовольствием принимаю вас в своё общество. Обнимаю за такие приятные слова. Благодарю за душевный порыв. Думаю, кому-то, действительно, он реально подсластит жизнь. Само объявление уже подсластило всем, кто его читал. Ведь вы наполовину украинка, с вас может начаться подобное движение и среди украинцев. Не вижу ничего такого, чтоб вы написали не так. Майдан Майданом, а Польша Польшей... И осколки в глазах у людей, как у Кая, через которые они видят всё по-своему.",19.0,1.0
Гнильца осталась дома. Лучшие уехали((( Хотя в Беларуси тоже еще осталось много хороших людей.,4.0,0.0
"Смотрите,друзья! Я написала свои мысли,свои эмоции на данное время.
 Почитайте,кто что пишет-----от сюда вывод,кто о чем пишет,то и беспокоит!!!
 Милые,я писала о другом!!!! Но,каждый из вас видит то,что хочет видеть!!! И даже это написав,все равно не работает(((Вообщем,буду рада помочь,чем могу,пишите в личку! С миру по нитке,голому-рубашка....говорила моя мама)",7.0,1.0
"Если бы Белорусы были такие сплочённый, как вы говорите, Лукашенко давно бы не был у власти.",6.0,-1.0
"Спасибо Вам за Ваше мнение! И за отношение к беларусам. И за те чувства и переживания, которые Вы испытываете. И за поддержку. И за то, что предлагаете помощь. Просто спасибо! Вы чудесная, живая и солидарная! Храните в себе эти лучшие качества! Не принимайте близко к сердцу то негативное или критичное, что пишут в комментариях. Ваше предложение вселило (и подкрепило) в беларусов веру в добрых людей, в то, что в самых сложных ситуациях их не оставят наедине с бедой и неприятностями. Большое человеческое спасибо!",5.0,1.0
"@Svitlana Milewska а что вас так напугало, что ""выброс адреналина""?
 Адреналин - гормон страха, сильной испуганности.",6.0,-1.0
"ЭТОТ ПОСТ НАПИСАН НЕ О НАЦИОНАЛИЗМЕ
 НЕ ПРОТИВ СТРАН И НАЦИОНАЛЬНОСТЕЙ!!!!!!
 ЛЮДИ,вы когда начнёте читать,то,что написано......а не то,что вы сами себе придумываете??????
 Вот от сюда и начинается, непонимание,страхи,презрение,боязнь, ступор и куча других чувств и эмоций.
 Я пост не об этом писала!!!!!!!!!!!! Но,каждый из вас,пишет,то,что вам болит!!! Но,я то не об этом!!!
 Перестаньте надумывать и превращать жизнь в ажиотаж,!!!!!!
 Все беды от нас самих же....увы и ах......................",15.0,-1.0
"Каждый судит по себе...не думаю что вы имеете к Украине и украинцам какое либо отношение. Напоминает мне Лукашенка с его ,,народец.''",8.0,-1.0
Благодарю,2.0,1.0
"Как говорится , в семье не без урода, везде хватает говна",5.0,-1.0
"Приятно было читать ваш пост, но хочу, как патриотка Беларуси вступиться за украинцев. Во время Майдана они были одной командой и отстаяли право остаться украинцами. Я не представляю ситуацию в Киеве, когда бьют, а потом забирают в автозак твоего брата, а ты просто снимаешь видео, как они это делают. Скажу честно: это было не просто отсутствие организации, а это было и есть спланированное уничтожение нас, как нации. Многие это понимали изначально, многие переосмыслили после неудавшихся протестов. Уничтожено всё беларуское, а наши лидеры требуют всё больше санкцый, как будто эти меры помогли народам Кубы и Северной Кореи. То, что помогают друг другу - это хорошо, только в это время в самой Беларуси душат всё национальное, приближая ползучую интеграцию к нам всего российского. Люди стали разговаривать шёпотом, как в 30-е.
 Я не голосовала за не за Тихановскую, не за Бабарико, не поддерживала Колесникову с ее фальшиво-циничной улыбочкой: ""Автозак - это только машина"". Кинули мой доверчивый народ в очередной раз. Потому что доверяем каждый раз не тем и потом с завистью смотрим вслед уходящим от России республикам, каждый раз выбирая пророссийских подкидышей, которые ждут резульата в ""мудрой Москве"".
 Простите, накипело! А хотела только высказаться в защиту украинцев.",19.0,-1.0
"Что ты несёшь, украинцы - прекрасный народ",0.0,1.0
"А слабо похвалить один народ, не опуская при этом другой?",11.0,0.0
"Светлана, если есть порыв помочь, возможно уместно тортик и орешки передать тем же беженцам в лагерь? Детям, например. Пусть меня поправят волонтеры, им виднее, где больше нужна помощь.",2.0,0.0
"Нет плохих национальностей - есть плохие люди… так было всегда и так всегда будет, пока существует человечество…",6.0,0.0
Пост разжигающий вражду. Зачем сравнивать разные народы и национальности?,24.0,-1.0
"Я наоборот восхищаюсь украинской общиной в Польше, приехав около 10 лет назад, именно украинцы мне помагали, безвозмездно, насколько у них была распространена помощь друг другу, юристы, украинская школа выходного дня, курсы, адаптация, сколько врачей украинских мне помагало.",12.0,1.0
Слезьте с украинцев много чего было в 2014 Вы просто этого не застали. А сейчас пора б уже самим вставать,6.0,0.0
"Это только здесь. В Беларуси друг друга ненавидят, и затопчут без повода, как только появится такая возможность!!! А мне лично в Польше очень много помогли украинцы, скажем, благодаря украинцам я как-то удержалась, а вот земляки белорусы не единожды ставили подножки. Так что....",24.0,-1.0
"смех здесь лишний. На тему политики не общаюсь. Я предлагаю бесплатные сладости,ну и поделилась эмоциями. Все остальное,Наталия,это ваши эмоции и домыслы.",6.0,0.0
Отлично. А политику Вы где увидели?),0.0,0.0
"Постарайтесь не реагировать и обращать внимание! Я благодарен Вам за ваш пост о беларусах! Я уже долго работаю в РП . Работа связана с командировками по всей территории РП! Когда к нам на работу попадают украинцы, очень остро ощущается их менталитет, особенно то, с какой жадностью они относятся к деньгам и ко всему, что связано с оплатой!",6.0,1.0
"Михаил Невар сложно не реагировать вообще... Судя из жизненных ситуаций,и всему что я увидела за 1,5 года в Варшаве. Все познается в сравнении)",1.0,0.0
Спасибо вам за вашу поддержку,3.0,1.0
как же Вас тянет всех к Майдану то))в 2014 началась война и украинцам в Польше сами же украинцы в том числе активно помогали из-за войны.,0.0,0.0
"Так вот и беларусам сейчас помогают не просто так, но посмотрим что будет если ничего не изменится за 8 лет",0.0,0.0
"именно. Такую реакцию вызывает Ваш пост как минимум его верхняя часть. Но в принципе это меня убеждает только в одном, некоторые люди просто чтоб себя похвалить и соседа не оплевать не могут. А вообще со временем увидите о чем я говорю если останетесь",3.0,-1.0
"да любопытно конечно, как можно 2014 год подвести к далёким 90-м и ""0"")",0.0,0.0
а причём тут 2014 год?,14.0,0.0
"значит это...мы так устали от своего народа,что видим у других прелести!?)))))
 Много кто помогает,и наверное не важна нация.
 Я о том,что я читала в вашей группе,сколько предложений и поддержки!
 Такого,я ни где не читала, правда!!!
 Слава богу,что есть люди,которые помогают,не в зависимости от национальности и всего прочего ☺️👍🙏
 И я пусть кому-то пригожусь,это тоже будет хорошо.",6.0,1.0
"это не правда! Наш двор, как был сплоченным, таким и остался. И таких очень много. Только и живём здесь, потому что не можем бросить друг друга",10.0,1.0
Держитесь! Молюсь о Вас!,0.0,1.0
"бред. Кто вас тут топчет??? Или топтал? Все живут как живут, когда выезжаешь- сплоченнее живешь поначалу. В Беларуси сколько фондов, хосписы и все это без копейки бюджета. Просто не сталкивались.",5.0,-1.0
"не правда.конечно, могут быть люди подлые ,но ведь разговор в целом о беларусах.Они действительно отличаются добротой ..",4.0,1.0
"ого, прям ненавидят друг друга?) уверены?))",3.0,-1.0
Живу в Минске. Нормальные обычные люди. Сволочи встречаются не так уж часто.,2.0,0.0
"И вот в большинстве так.... Пишу об одном,но все равно потом каким-то чудным образом начинается другое!!!
 Друзья! Я о хорошем.... Я о том,что вы другие! Украинцы не плохие (иногда) Но вы другие,суть в этом!
 Я в Варшаве 1,5 лет и много начиталась всего. У нас в группах нет-помогу вещами,обувью или ещё чем-то...
 Писала от чистого сердца,порыв был такой!
 Пожалуйста🙏 не нагнетайте,и так,столько негатива вокруг и мусора! Лучше быть добрее,это правда поможет,чем негатив.",9.0,1.0
"Есть и те, Кто в Беларуси не очень уживался с людьми, и те которых не уважали соседи, друзья, и невзлюбили даже близкие! И у них оставался только один выбор- свалить куда-то и примкнуть к себе подобных!!!",0.0,-1.0
"полностью согласен. Мы когда приехали в Варшаву, оказалось, что помогали только украинцы. Помогли с жильём, дали на выходные 100 zł т.к приехали в субботу вечером и было проблематично поменять, не зная где и что. Да и в дальнейшем, когда были проблемы с оплатой жилья, всегда шли на уступки. В общем хочу сказать, что к нашим претензий не имею, но факт остаётся фактом!
 P.S. От белорусов, к сожалению, одно только бла бла бла и больше ничего.",3.0,0.0
"это вы уже преувеличиваете... Доброты и тепла, и поддержки, и сердечности у жителей Беларуси мноооооооого!!!",1.0,1.0
"если читать мой выплеск,там обо всем написало и хороших и не очень... Не может быть 100% положительных или отрицательных людей,эмоций,поступков... Сравнение есть,как ни крути,и возьми любую нацию,наверное так у большинства. Но опять же......я о том хотела донести, что + больше,чем -
 Вы видите в нас то,чего мы не видим и наоборот!!!!!
 Вообщем,мир,дружба,жвачка😄😄😄👍",2.0,1.0
"не стала я разговаривать шепотом, и до сих пор живу в Минске, наоборот стала использовать беларускую мову в общественных местах. А санкции нам нужны, чтобы заставить ""маяхатаскраю"" выйти на забастовку. только финансовый кризис может всколыхнуть это болото чтобы дожать режим. и беларусь не северная корея или куба, у нас свой путь. беларусы просто другие, отличаются и от украинцев и русских.",7.0,0.0
"Снимите розовые очки и выкиньте из себя розовую пони. Ща Гродно взялись больше, чем за Минск. Мечтать, что рабочие выйдут на забастовку глупо. Никто не выйдет. Все подчищено и ваша дурная бравада только на руку кремлядям, которые чистят для себя пространство. Теперь убивают и будут убивать не перед кем не отчитываясь, как это ""якобы было"". Людей нужно беречь. Это не расходный материал для лидеров, которые большой кровью ведут нас под ""заботливое"" крылышко россии. Беларусы достойны лучшего. Пока нам нечем гордится. Во всём важен конечный результат. У нас он пророссийский анклав. И мы снова с завистью смотрим вслед оторвавшимся от россии соседей. При этом наступаем на те же грабли, что и в 94-ом. Пора умнеть и не верить не пооверенным, не понятно откуда выскочившим лидерам.",3.0,-1.0
"наверное мне слабо...... Исходя из всего,что было в моей жизни. К сожалению,такова правда,именно в моей жизни,делаю акцент,что б не писали что все не могут быть одинаковые и т.д...И судя из того,что я вижу,читаю и слышу. Это мое субъективное мнение и я его не навязываю!
 Когда есть потребность,люди пишут или говорят с кем-то,у меня не было возможности поговорить и поэтому я написала..... А как,кто воспримет,и что возьмёт,это дело каждого человека!",1.0,0.0
"с удовольствием!!! Могу сделать пару шт по 1 кг,что б больше было,так сказать)) Кто знает,куда и как,напишите в месенджер! Один раз в неделю или тортики-для тех кто нуждается! 🤗
 Уже один человек обратился в личку по поводу орешков,поддержать молодого человека! Так что,пишите пожалуйста,доброе дело сделать,это наверное самое главное! 💕",5.0,1.0
"это вы так увидели и прочитали!
 Каждый видит в посте,то,что он хочет увидеть....",5.0,0.0
"очень много было сравнений их Майдана и наших протестов. Обидных для украинцев. Хотя они победили, а мы пока нет. А еще- они нас поддерживают (хотя и не согласны с нашими методами), а беларусы в большинстве своем украинский майдан не поддерживали. Конечно, я увидела вторую часть поста про помощь, доброту и поддержку. Но, к сожалению, первая часть меня лично больше впечатлила.",8.0,0.0
"я против политики была,есть и буду!!!!
 Мы,можем только говорить об этом,но изменить,к сожалению не можем ни чего.
 Каждый видит,то,что ему ближе!
 Хотела донести одно,но получается все равно,все пишут о том,что больше тревожит!
 И так...Читаем- все народности братья, кто-то пострадал больше или меньше...но орешки и тортики ни кто не отменял!))",1.0,0.0
"да, с соседями надо жить дружно. Видела ниже в ленте фото ваших тортиков- выглядят бесподобно. Здорово, что вы хорошо печете, готовы делиться с другими и делать мир лучше)",1.0,1.0
"да пожалуйста,делайте заказы или напишите,кто не может себе позволить купить,сделаю бесплатно!",0.0,1.0
"действительно, в любой нации есть как хорошие , так и не очень , но хочется верить что мы лучшие",1.0,1.0
"Спасибо за ваш комментарий! 🤗
 Есть и хорошие и плохие люди,как кто-то написал,не в зависимости от нации.... Писала на эмоциях и о том,что меня больше задело,что больше увидела! Но,есть человеческий фактор,который ни кто не отменял....и в украинском народе есть хорошие люди,кто помогает безвозмездно и т д......
 Пост был обо всем,и о людях и об отношении и о помощи! Опять же,кто,что увидел,кому,что ближе....",0.0,1.0
",приезжайте в гости,все будет! 🤗
 Про посты,почитайте в других группах и сравните,я писала не из воздуха. И не по наслышке знаю про то,как беларусы помогают друг другу!
 Но,все равно,кто мы не есть,главное оставаться людьми,с чувствами!",1.0,1.0
"да я знаю про помощь, сама такая, до сих пор остаюсь Минске с позицией, если не я, то кто, но это жизненная позиция. (мой сын переехал в Польшу с декабря прошлого года из соображений безопасности, уже студент и там). Буду в Варшаве - обязательно вспомню про ваши орешки - вкус детства. Дома я только хлеб пеку, на орешки формы нет. )))",3.0,1.0
"Санкции нас действительно толкают в лапы России, как это не прискорбно(((",0.0,-1.0
",та при чем тут молодец))) Оксана,просто почитать их почты и наши,это небо и земля! Ну правда.... Просто не смогла удержать эмоции свои и написала. Но,в лишь,все равно каждый человек читает то,что хочет и выбирает для него главное.... Вообщем,как ни крути,мил для всех не будешь 😁😁😁",1.0,0.0
"я так поняла по своим личным наблюдениям это потому что украинцы и белорусы в Польше с разными целями. украинцы в Польше - друг другу конкуренты (они зарабатывать приехали), а белорсы в Польше - друг другу собратья по несчастью (их бы тут скорей всего и не было бы если бы не беда дома...).",1.0,0.0
может быть и так((( Не могу судить и не могу говорить за всех.,0.0,0.0
"да,именно субъективно,спасибо что сделали акцент! Везде можно увидеть плохое или хорошее,если захотеть))",0.0,0.0
"воооооот, наконец-то!!!!!!
 Спасибо вам!!!!
 Я писала несколько раз,что я написала о своем,что для меня важно,что я увидела,что меня встревожило и что я хочу......
 Но правда,мы настолько зашуганные,что видим то,что именно мне ближе,что меня тронуло,что меня зацепило,что меня беспокоит....
 Так всегда и везде,но это психология и не все могут понять и увидеть это! Огромное благодарю,что вы прочитали,увидели и написали 🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏😊💕",3.0,1.0
"и ещё? Вы заметили, как все, защищая другую нацию, начали поливать дерьмом свою? Очень жаль, что мы не ценим то, что имеем, привыкли оправдываться. Не можем похвалить кого-то, не унизив себя. Пока так, Победы не будет. Я тоже собираюсь уезжать из РБ, но у меня нет злости к тем, кто остался. Я просто не хочу иметь с ними дело, даже не обсуждая, просто не мой круг. И не осуждаю тех, кто уехал. Они не трусы, они, наоборот, много сделали, я ими восхищаюсь. И ябатек не осуждаю, они со своим кривым зеркалом. Осуждаю тех, кто сравнивает, кто больше сделал, кто меньше. Кто кому чего должен. Это самые страшные люди.",2.0,-1.0
"я много чего вижу!!!!! Но смысл? Если человек настроен агрессивно,то ни чего ему не поможет,пока он не выльет свою агрессию или не сделает что-то... Многие коменты читаю,делаю вывод и не комментирую,не нужно давать подпитку,что б дальше разжигать. Нет!!! Не об этом пост,ну не об этом ,люди!!!
 Но ""свое"",ближе,поэтому,я буду говорить о ""своем"".
 И я так же не имею права осуждать тех,кто не понимает. Уфффф.... 🙈",1.0,-1.0
"и да, среди тех, кто остался, тоже есть герои, а то как-то несправедливо написала 😉!",2.0,1.0
"а ведь они реально хотели вас поддержать, как наполовину украинку 😉 ! Если будем в Варшаве, придём к вам на тортик и познакомиться 🙂 !",1.0,1.0
"я немного знакома с психологией,немного понимаю кто что пишет и почему) Стараюсь держаться,что б не вестись на политику и все остальное... Сдерживаюсь как могу 😁
 Но...
 Такие посты и комментарии,показывают многое....
 Приезжайте в гости,буду рада! И тортик и все остальное,все будет! 💕💕💕💕💕💕",1.0,1.0
"Не о чём. Мы теперь все психологи и психотерапевты. Знаю одного психотерапевта, не очень в своей профессии, который теперь хайпует на нашем горе-движении. Пользы от него нет и, на первый взгляд беды так же. Но, только на первый взгляд, потому что советчиков у нас теперь много, но ведёт это нас в тупик. А проблема в том, и для этого не нужно быть психотерапевтом, что беларусы ещё не состоялись, как нация. Если бы мы были беларуской нацией, нас бы никто не обманул и не использовал в своих интересах.",1.0,-1.0
"вот этот пессимистичный текст точно не поспособствует образованию нации. Нас обманули...С нами сделали... Мы, вообще, взрослые люди или предмет, с которым можно делать что угодно? Кто вас обманул и использовал? Меня лично никто. Лично за меня тысячи людей вышли на площадь, получили травмы физические и психологические, сидят в тюрьмах, уволены с работы, изгнаны из ВНУ и из страны, многие получили и ещё получат штрафы, обыски. Ради меня сейчас в тюрьме Бабарико и Колесникова, ради меня Тихановская бороздит мировые просторы. Может, я их немного обманула, может, я должна сейчас сидеть рядом?",3.0,-1.0
Скорее меня никто. Розовые очки не ношу с детства и видела всё как есть ещё до выборов. И что жестить будут не по-детски и убивать лучших. А с оставшейся массой розовочковых можно смело вступать в российское пространство - они не преграда.,1.0,-1.0
"ну и что? Все это видели, но всё равно шли. Потому что по-другому нельзя. Кто мог не идти, тот не шёл.",1.0,0.0
"я вам запрос отправила и написала в месенджер,проверьте пожалуйста)",0.0,0.0
"Сплочённые, но доверчивые. Этим пользуются наши враги.",0.0,-1.0
"спасибо вам за написанное! Спасибо что прочитали именно то,что я написала! 🙏",1.0,1.0
"да мне бы знающего человека и разбирающегося в этом... Была бы очень благодарна! Если вы понимаете о чем речь,буду признательна пообщаться в личке!",0.0,1.0
"Ну, так перечитайте внимательно ЧТО ИМЕННО Вы написали и может поймёте что с этим постом не так?",3.0,0.0
"я видела их посты,я читала о чем пишут люди! Вы читали,что б украинец украинцу писал о том,что он готов предоставить кров,дать одежду и обувь бесплатно? Я не читала ни разу,почти за 1,5 года в разных группах!
 Это будет последний комет,я закрываю комментарии. Потому что,все равно,это мешать воду в ступе и каждый останется при своем мнении.
 Всем нам,благ,мира,взаимопонимания и любви! 💞💞💞🙏",9.0,1.0
"не бери близко к сердцу... Люди разные.. Подсолнечник тянется к солнцу, а банный лист сама понимаешь куда",1.0,0.0
